SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
58.05,15019,13193,1826.5,0,1327.5,430.11,0.24508,0.20119,0.043895,0
58.1,14981,13145,1836.7,0,1332.3,431.65,0.2446,0.20046,0.044139,0
58.15,14944,13097,1847,0,1337.1,433.21,0.24411,0.19972,0.044386,0
58.2,14905,13048,1857.4,0,1341.9,434.78,0.24362,0.19898,0.044636,0
58.25,14867,12999,1867.9,0,1346.8,436.36,0.24313,0.19824,0.044889,0
58.3,14829,12950,1878.6,0,1351.7,437.96,0.24263,0.19749,0.045146,0
58.35,14790,12901,1889.4,0,1356.7,439.56,0.24214,0.19673,0.045406,0
58.4,14751,12851,1900.3,0,1361.7,441.18,0.24164,0.19597,0.045669,0
58.45,14712,12800,1911.4,0,1366.7,442.8,0.24114,0.1952,0.045935,0
58.5,14672,12750,1922.7,0,1371.7,444.44,0.24064,0.19443,0.046206,0
58.55,14633,12699,1934.1,0,1376.8,446.1,0.24013,0.19365,0.046479,0
58.6,14593,12647,1945.6,0,1382,447.76,0.23963,0.19287,0.046756,0
58.65,14553,12595,1957.3,0,1387.2,449.44,0.23912,0.19208,0.047037,0
58.7,14512,12543,1969.1,0,1392.4,451.13,0.2386,0.19128,0.047322,0
58.75,14472,12491,1981.1,0,1397.6,452.83,0.23809,0.19048,0.04761,0
58.8,14431,12438,1993.3,0,1402.9,454.55,0.23758,0.18967,0.047902,0
58.85,14390,12384,2005.6,0,1408.3,456.27,0.23706,0.18886,0.048198,0
58.9,14348,12330,2018.1,0,1413.6,458.02,0.23654,0.18804,0.048498,0
58.95,14307,12276,2030.7,0,1419,459.77,0.23601,0.18721,0.048802,0
59,14265,12222,2043.6,0,1424.5,461.54,0.23549,0.18638,0.04911,0
59.05,14223,12166,2056.5,0,1430,463.32,0.23496,0.18554,0.049423,0
59.1,14181,12111,2069.7,0,1435.5,465.12,0.23443,0.18469,0.049739,0
59.15,14138,12055,2083.1,0,1441.1,466.93,0.2339,0.18384,0.05006,0
59.2,14095,11999,2096.6,0,1446.8,468.75,0.23337,0.18298,0.050385,0
59.25,14052,11942,2110.3,0,1452.4,470.59,0.23283,0.18211,0.050715,0
59.3,14009,11885,2124.2,0,1458.2,472.44,0.23229,0.18124,0.051049,0
