Date	ZoneLoadforContainerFPVAV14	ZoneLoadResidualforContainerFPVAV14	
42521.0416666667	nan	nan	
42521.0520833333	nan	nan	
42521.0625	nan	nan	
42521.0729166667	nan	nan	
42521.0833333333	nan	nan	
42521.09375	nan	nan	
42521.1041666667	nan	nan	
42521.1145833333	nan	nan	
42521.125	nan	nan	
42521.1354166667	nan	nan	
42521.1458333333	nan	nan	
42521.15625	nan	nan	
42521.1666666667	nan	nan	
42521.1770833333	nan	nan	
42521.1875	nan	nan	
42521.1979166667	nan	nan	
42521.2083333333	nan	nan	
42521.21875	nan	nan	
42521.2291666667	nan	nan	
42521.2395833333	nan	nan	
42521.25	nan	nan	
42521.2604166667	nan	nan	
42521.2708333333	nan	nan	
42521.28125	nan	nan	
42521.2916666667	nan	nan	
42521.3020833333	nan	nan	
42521.3125	nan	nan	
42521.3229166667	nan	nan	
42521.3333333333	nan	nan	
42521.34375	nan	nan	
42521.3541666667	nan	nan	
42521.3645833333	nan	nan	
42521.375	3024	12663	
42521.3854166667	5292	15876	
42521.3958333333	6048	14553	
42521.40625	5670	756	
42521.4166666667	5670	378	
42521.4270833333	6426	567	
42521.4375	8316	0	
42521.4479166667	9450	-756	
42521.4583333333	7938	1890	
42521.46875	3402	3780	
42521.4791666667	3402	3780	
42521.4895833333	4158	3024	
42521.5	5292	1890	
42521.5104166667	5670	9072	
42521.5208333333	5292	9828	
42521.53125	3402	7938	
42521.5416666667	1890	6804	
42521.5520833333	3780	7938	
42521.5625	5670	7560	
42521.5729166667	6426	19278	
42521.5833333333	4914	27216	
42521.59375	1890	30240	
42521.6041666667	1890	26649	
42521.6145833333	4536	20979	
42521.625	4914	18144	
42521.6354166667	5292	17766	
42521.6458333333	4158	18900	
42521.65625	1512	29862	
42521.6666666667	1890	4536	
42521.6770833333	3402	3969	
42521.6875	4158	3402	
42521.6979166667	1512	5670	
42521.7083333333	nan	nan	
42521.71875	nan	nan	
42521.7291666667	nan	nan	
42521.7395833333	nan	nan	
42521.75	nan	nan	
42521.7604166667	nan	nan	
42521.7708333333	nan	nan	
42521.78125	nan	nan	
42521.7916666667	nan	nan	
42521.8020833333	nan	nan	
42521.8125	nan	nan	
42521.8229166667	nan	nan	
42521.8333333333	nan	nan	
42521.84375	nan	nan	
42521.8541666667	nan	nan	
42521.8645833333	nan	nan	
42521.875	nan	nan	
42521.8854166667	nan	nan	
42521.8958333333	nan	nan	
42521.90625	nan	nan	
42521.9166666667	nan	nan	
42521.9270833333	nan	nan	
42521.9375	nan	nan	
42521.9479166667	nan	nan	
42521.9583333333	nan	nan	
42521.96875	nan	nan	
42521.9791666667	nan	nan	
42521.9895833333	nan	nan	
42522	nan	nan	
42522.0104166667	nan	nan	
42522.0208333333	nan	nan	
42522.03125	nan	nan	
42522.0416666667	nan	nan	
42522.0520833333	nan	nan	
42522.0625	nan	nan	
42522.0729166667	nan	nan	
42522.0833333333	nan	nan	
42522.09375	nan	nan	
42522.1041666667	nan	nan	
42522.1145833333	nan	nan	
42522.125	nan	nan	
42522.1354166667	nan	nan	
42522.1458333333	nan	nan	
42522.15625	nan	nan	
42522.1666666667	nan	nan	
42522.1770833333	nan	nan	
42522.1875	nan	nan	
42522.1979166667	nan	nan	
42522.2083333333	nan	nan	
42522.21875	nan	nan	
42522.2291666667	nan	nan	
42522.2395833333	nan	nan	
42522.25	nan	nan	
42522.2604166667	nan	nan	
42522.2708333333	nan	nan	
42522.28125	nan	nan	
42522.2916666667	nan	nan	
