Date	OADryBulbTemperatureNOAA	VariableTotalPower	FanplusCoolingEnergyAHUActualExponent2forAHU23
42678.6666666667	71.9165517241379	18966.1423880834	46488.2814
42678.6770833333	71.8234482758621	17851.9028556515	43993.1164833333
42678.6979166667	71.6372413793103	17897.134925981	36371.28675
42681.375	69.2169565217391	20375.1373377023	27044.34915
42681.3854166667	69.5104347826087	19451.1343441466	27273.0456833333
42681.3958333333	69.8039130434783	19492.957273249	30223.3464
42681.40625	70.4428571428572	19988.7885998324	30380.7843333333
42681.4166666667	70.934	21386.4479367571	27209.3424833333
42681.4270833333	70.664	20693.9473180536	29993.2480833333
42681.4375	70.394	19611.5228268023	35117.4083333333
42681.4479166667	70.124	19888.9950390416	34291.1136833334
42681.4583333333	70.106	20662.2207367794	35001.46755
42681.46875	70.376	21569.2247808586	34563.9320833333
42681.4791666667	70.646	21956.0533654416	35492.2252833333
42681.4895833333	70.916	21694.8812645753	39543.3397333334
42681.5	71.1251724137931	21744.8520787672	39762.3054
42681.5104166667	71.2648275862069	20295.4070729842	37740.2620833333
42681.5208333333	71.4044827586207	19838.9889564947	38118.0460833333
42681.53125	71.5441379310345	18668.3301313549	37039.0784833333
42681.5416666667	71.45375	19782.9374224846	37340.6947333333
42681.5520833333	71.8372727272727	20834.499642361	37985.91795
42681.5625	71.5304545454545	19994.4588992847	40219.3845333333
42681.5729166667	71.2236363636364	19654.7559044404	40998.7964833334
42681.5833333333	70.934	20579.4409918546	39699.3549333333
42681.59375	70.664	21028.0414773766	36287.52075
42681.6041666667	70.394	19468.0088587616	36498.0533333333
42681.6145833333	70.124	17174.5666160581	36015.8820833333
42682.3854166667	64.37	21657.2187806691	27525.73395
42682.3958333333	64.595	21448.4624873725	26302.1700833333
42682.40625	64.82	23487.5363790525	25713.6768
42682.4166666667	65.082641509434	22500.4090194174	31995.57915
42682.4270833333	65.3883018867924	22393.4486739835	33956.3136
42682.4375	65.6939622641509	20543.7604818636	31138.51755
42682.4479166667	65.9996226415094	21400.2977197628	29782.5180833333
42682.4583333333	67.2636363636364	18463.2681329969	35426.2883333334
42682.46875	68	18787.7404246691	35082.6325333333
