Date	ZoneLoadforContainerFPVAV19	PlenumTemperatureforContainerFPVAV19	
42438.46875	19440	141.97	
42438.4791666667	19440	137.665	
42438.4895833333	19440	122.83	
42438.5	19440	129.103333333333	
42438.5104166667	19440	134.745	
42438.5208333333	19440	125.87	
42438.53125	19440	101.88	
42438.5416666667	18144	124.99	
42438.5520833333	18144	117.901818181818	
42438.5625	18144	119.215454545454	
42438.5729166667	14256	138.048461538462	
42438.5833333333	10044	723.08	
42438.6041666667	18144	215.78	
42438.6145833333	18144	183.99	
42438.625	9072	160.52	
42438.6354166667	7452	1340.24	
42438.6458333333	10368	1096.05	
42438.6770833333	8424	-794.860000000001	
42438.6875	12312	-716.59	
42438.6979166667	11016	943.059999999998	
42439.375	20088	103.706666666667	
42439.3854166667	19440	118.11	
42439.3958333333	18144	170.785	
42439.40625	18144	157.47	
42439.4166666667	16200	159.34	
42439.4270833333	16200	281.34	
42439.4375	17496	208.348571428571	
42439.4479166667	17496	188.44	
42439.4583333333	17496	181.87	
42439.46875	18144	191.942857142857	
42439.4791666667	18144	166.77	
42439.4895833333	17496	160.87	
42439.5	18144	130.633076923077	
42439.5104166667	18144	121.581538461539	
42439.5208333333	18144	129.987272727273	
42439.53125	18144	125.44	
42439.5416666667	18144	124.893076923077	
42439.5520833333	18144	122.906153846154	
42439.5625	18144	157.91	
42439.5729166667	18144	136.292727272727	
42439.5833333333	18792	129.42	
42439.59375	17496	168.165714285714	
42439.6041666667	9720	188.336666666667	
42439.6145833333	9072	713.65	
42439.625	17820	-772.259999999998	
42439.6354166667	19440	117.14	
42439.6458333333	19440	144.965	
42439.65625	18144	126.223333333333	
42439.6666666667	8424	155.74	
42439.6770833333	4536	-608.99	
42439.6875	12960	423.85	
42439.6979166667	15876	389.669999999999	
42440.375	20088	335.629999999999	
42440.3854166667	19764	146.06	
42440.3958333333	19440	199.78	
42440.40625	18468	364.9	
42440.4166666667	17496	145.5	
42440.4270833333	18144	847.360000000001	
42440.4375	20088	116.401818181818	
