Date	OADryBulbTemperatureNOAA	AHU13MixedAirTemp	
42447.3854166667	67.1276923076923	67.51	
42472.53125	67.136	57.87	
42479.3958333333	67.1407547169811	66.27	
42457.5520833333	67.142	64.68	
42473.5520833333	67.1624489795918	60.82	
42509.6666666667	67.172	67.01	
42465.4270833333	67.184	67.13	
42458.4583333333	67.2224	66.37	
42444.3958333333	67.241	67.74	
42454.6041666667	67.241	65.92	
42474.5208333333	67.241	64.85	
42474.5520833333	67.274	63.74	
42451.5	67.277	64.47	
42487.375	67.277	66.87	
42473.71875	67.316	68.47	
42508.4270833333	67.316	68.83	
42517.34375	67.316	67.89	
42464.4479166667	67.328	67.22	
42473.6875	67.334	68.84	
42478.4791666667	67.352	67.97	
42517.3020833333	67.3952	69.73	
42494.4166666667	67.403	67.82	
42510.4583333333	67.4181395348837	60.73	
42507.3854166667	67.4365217391304	68.65	
42468.40625	67.472	69.29	
42480.5520833333	67.472	59.57	
42473.5625	67.4930612244898	63.53	
42458.5833333333	67.5015384615385	64.94	
42475.5208333333	67.505	67.67	
42482.375	67.508	68.27	
42473.7291666667	67.586	68.47	
42508.4375	67.586	69.12	
42517.3541666667	67.586	67.91	
42473.6770833333	67.604	69.39	
42517.375	67.622	67.81	
42445.4166666667	67.634	65.14	
42466.4583333333	67.634	69.73	
42479.40625	67.7011320754717	64.08	
42509.6770833333	67.712	66.51	
42517.3125	67.7192	68.8	
42452.40625	67.73	67.14	
42444.40625	67.736	67.84	
42474.53125	67.736	60.69	
42467.4166666667	67.739	66.26	
42447.3958333333	67.7507692307692	67.43	
42474.5416666667	67.769	58.01	
42517.3229166667	67.784	68.53	
42507.3958333333	67.7886956521739	68.49	
42478.4895833333	67.8148571428572	67.52	
42473.5729166667	67.8236734693878	65.46	
42508.4479166667	67.856	68.48	
42517.3645833333	67.856	68.02	
42495.34375	67.868	68.72	
42458.46875	67.8704	66.82	
42473.6666666667	67.874	68.51	
42457.5625	67.907	64.76	
42446.3020833333	68	65.38	
42446.3125	68	65.79	
42446.3229166667	68	68.18	
42446.3333333333	68	68.49	
42446.34375	68	68.06	
42446.3541666667	68	67.95	
42473.5833333333	68	66.22	
42473.59375	68	66.5	
42473.6041666667	68	68.41	
42473.6145833333	68	69.26	
42473.625	68	69.79	
42473.6354166667	68	68.96	
42473.6458333333	68	68.12	
42473.65625	68	67.02	
42478.5	68	65.64	
42481.5625	68	67.06	
42488.3020833333	68	69.26	
42488.3125	68	68.74	
42488.3229166667	68	68.97	
42496.3645833333	68	68.63	
42506.3020833333	68	68.67	
42506.3125	68	66.17	
42506.3229166667	68	65.43	
42506.3333333333	68	69.1	
42506.34375	68	70.46	
42506.3541666667	68	66.99	
42506.3645833333	68	64.91	
42507.40625	68	68.47	
42507.4166666667	68	68.76	
42524.3020833333	68	67.44	
42451.5104166667	68.042	65.22	
42487.3854166667	68.042	64.22	
42501.3020833333	68.042	67.86	
42472.5416666667	68.126	59.96	
42508.4583333333	68.126	69.28	
42478.5208333333	68.144	67.19	
42447.40625	68.216	67.56	
42444.4166666667	68.231	67.74	
42488.3333333333	68.231	69.36	
42506.375	68.231	67.21	
42452.4166666667	68.252	66.76	
42509.6875	68.252	66.47	
42483.9270833333	68.288	76.61	
42458.5416666667	68.324	64.41	
42468.4166666667	68.357	69.74	
42458.59375	68.3791489361702	62.55	
42472.5520833333	68.396	65.86	
42508.46875	68.396	69.21	
42494.4270833333	68.438	67.72	
42480.5625	68.462	63.14	
42475.53125	68.4628571428571	66.62	
42510.46875	68.4855813953488	60.72	
42458.4791666667	68.5184	66.45	
42464.4583333333	68.588	67.85	
42472.5625	68.666	67.26	
42508.4791666667	68.666	68.57	
42457.5729166667	68.672	67.11	
42479.4166666667	68.693	66.39	
42465.4375	68.714	65.04	
42446.3645833333	68.72	67.95	
42444.4270833333	68.726	67.91	
42488.34375	68.726	69.52	
42499.3020833333	68.726	72.54	
42506.3854166667	68.726	69.57	
42482.3854166667	68.768	66.82	
42452.4270833333	68.792	63.62	
42509.6979166667	68.792	66.96	
42451.5208333333	68.807	65.88	
42487.3958333333	68.807	61.69	
42501.3125	68.807	64.54	
42443.4166666667	68.819	67.97	
42483.9166666667	68.828	76.68	
42472.5729166667	68.936	66.17	
42508.4895833333	68.936	68.7	
42478.5104166667	68.9818181818182	63.37	
42458.6041666667	69.0110638297872	59.79	
42446.375	69.08	66.94	
42458.4895833333	69.08	67.24	
42458.5	69.08	64.54	
42458.5104166667	69.08	60.74	
42458.5208333333	69.08	58.77	
42458.53125	69.08	57.76	
42472.5833333333	69.08	64.49	
42472.59375	69.08	62.54	
42472.6041666667	69.08	59.36	
42472.6145833333	69.08	62.34	
42472.625	69.08	66.17	
42472.6354166667	69.08	67.01	
42472.6458333333	69.08	63.57	
42472.65625	69.08	60.53	
42478.5416666667	69.08	62.47	
42498	69.08	77.04	
42523.3645833333	69.08	67.47	
42524.3333333333	69.08	69.16	
42507.4270833333	69.1207547169811	68.45	
42468.4270833333	69.122	68.81	
42495.3541666667	69.128	69.06	
42445.4270833333	69.164	68.13	
42466.46875	69.164	68.43	
42472.6666666667	69.185	58.54	
42508.5	69.185	69.76	
42524.3125	69.1952	67.32	
42460.3229166667	69.2	66.71	
42497.9895833333	69.2	77.25	
